	POLY_CODE	PLOT_ID	POLY_NUM	PLOT_NUM	SURVEY_PT_	ID	X	Y	POINT_X	POINT_Y
25	WG	WG76/1	76	1	a	WG76/1a	698910.79709999900	6104851.97499999000	149.18441010567	-35.17962252288
121	WG	WG76/1	76	1	b	WG76/1b	698813.53890000000	6104828.71899999000	149.18334832652	-35.17985132786
28	WG	WG76/2	76	2	a	WG76/2a	699028.30619999900	6104682.00299999000	149.18574075869	-35.18113079546
124	WG	WG76/2	76	2	b	WG76/2b	699015.54050000000	6104582.82100000000	149.18562459177	-35.18202701336
26	WG	WG76/3	76	3	a	WG76/3a	699475.69499999900	6104379.81400000000	149.19072391665	-35.18376493934
122	WG	WG76/3	76	3	b	WG76/3b	699504.94869999900	6104284.18900000000	149.19106812098	-35.18462076312
27	WG	WG76/4	76	4	a	WG76/4a	699369.97919999900	6103991.23400000000	149.18965761985	-35.18728725419
123	WG	WG76/4	76	4	b	WG76/4b	699432.36730000000	6103913.08200000000	149.19036128147	-35.18797905905
44	WG	WG78/1	78	1	a	WG78/1a	698172.16680000000	6104086.81199999000	149.17648768260	-35.18666312658
140	WG	WG78/1	78	1	b	WG78/1b	698189.26370000000	6104185.33999999000	149.17665164915	-35.18577195243
41	WG	WG78/2	78	2	a	WG78/2a	698235.42420000000	6104056.67100000000	149.17718922780	-35.18692223120
137	WG	WG78/2	78	2	b	WG78/2b	698254.08649999900	6104154.91399999000	149.17737043684	-35.18603331540
42	WG	WG78/3	78	3	a	WG78/3a	698321.08140000000	6104248.61899999000	149.17808321060	-35.18517574639
138	WG	WG78/3	78	3	b	WG78/3b	698301.23479999900	6104346.62999999000	149.17784181106	-35.18429652415
43	WG	WG78/4	78	4	a	WG78/4a	698333.45330000000	6104058.05200000000	149.17826484178	-35.18689043179
139	WG	WG78/4	78	4	b	WG78/4b	698368.44909999900	6104151.72900000000	149.17862640841	-35.18603943116
29	WG	WG81/1	81	1	a	WG81/1a	697769.36560000000	6103895.58100000000	149.17211250026	-35.18846565115
125	WG	WG81/1	81	1	b	WG81/1b	697816.58290000000	6103983.73199999000	149.17260960632	-35.18766205203
32	WG	WG81/2	81	2	a	WG81/2a	697861.60179999900	6104138.67700000000	149.17306654349	-35.18625702627
128	WG	WG81/2	81	2	b	WG81/2b	697910.36140000000	6104225.98400000000	149.17358075793	-35.18546072484
31	WG	WG81/3	81	3	a	WG81/3a	697913.10450000000	6103926.17899999000	149.17368283627	-35.18816162388
127	WG	WG81/3	81	3	b	WG81/3b	697982.05330000000	6103998.60900000000	149.17442222231	-35.18749539117
30	WG	WG81/4	81	4	a	WG81/4a	697944.37990000000	6104099.30900000000	149.17398454516	-35.18659544508
126	WG	WG81/4	81	4	b	WG81/4b	697990.88249999900	6104187.83899999000	149.17447368663	-35.18578856498
12	WG	WG92/1	92	1	a	WG92/1a	698632.41520000000	6102944.98400000000	149.18181441604	-35.19686075362
108	WG	WG92/1	92	1	b	WG92/1b	698534.32669999900	6102964.44199999000	149.18073300100	-35.19670482917
9	WG	WG92/2	92	2	a	WG92/2a	698543.69200000000	6103087.52900000000	149.18080614867	-35.19559388939
105	WG	WG92/2	92	2	b	WG92/2b	698554.26240000000	6103186.96899999000	149.18089822054	-35.19469578479
10	WG	WG92/3	92	3	a	WG92/3a	698641.85849999900	6103042.67499999000	149.18189452689	-35.19597863133
106	WG	WG92/3	92	3	b	WG92/3b	698663.57960000000	6103140.28799999000	149.18210942692	-35.19509478223
11	WG	WG92/4	92	4	a	WG92/4a	698754.42009999900	6103051.97900000000	149.18312786781	-35.19587251790
107	WG	WG92/4	92	4	b	WG92/4b	698785.58140000000	6103147.00000000000	149.18344700282	-35.19501015335
